Anime,1st recomm,2nd recomm,3rd recomm
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Devil Survivor 2 The Animation,Bleach,Ao no Exorcist: Kyoto Fujouou-hen
Darker than Black: Kuro no Keiyakusha,Needless,Gintama,Blood Lad
Darwin's Game,Code:Breaker,Shijou Saikyou no Deshi Kenichi,Tokyo Ghoul
Days (TV),Shakunetsu Kabaddi,Captain Tsubasa,Keppeki Danshi! Aoyama-kun
Deadman Wonderland,Baki,Fate/stay night,Zankyou no Terror
Death Note,Chainsaw Man,Makai Ouji: Devils and Realist,Akame ga Kill!
Death Parade,Bleach,God Eater,Death Note
Deatte 5-byou de Battle,Iwa Kakeru!: Sport Climbing Girls,Youjo Senki,Highschool of the Dead
Detective Conan,Fate/stay night,Boku dake ga Inai Machi,Magic Kaito 1412
Devil May Cry,Gokushufudou,Kumichou Musume to Sewagakari,Mairimashita! Iruma-kun
Devil Survivor 2 The Animation,Highschool of the Dead,Fate/stay night,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Digimon Adventure,Hotarubi no Mori e,Cardcaptor Sakura,Kakurenbo
Dimension W,Darker than Black: Kuro no Keiyakusha,Baccano!,Neon Genesis Evangelion
Divine Gate,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Clover,Dragon Ball
Donten ni Warau,Hanebado!,Ushio to Tora (TV),Zankyou no Terror
Dr. Stone,Kami no Tou,Mushoku Tensei: Isekai Ittara Honki Dasu,Great Teacher Onizuka
Dragon Ball,Sono Bisque Doll wa Koi wo Suru,Cardcaptor Sakura,Kono Subarashii Sekai ni Shukufuku wo!
DRAMAtical Murder,Great Teacher Onizuka,Donten ni Warau,Gokushufudou
Drifters,Baki,Neon Genesis Evangelion,Makai Ouji: Devils and Realist
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Youjo Senki,Saihate no Paladin,Sword Art Online
Durarara!!,Log Horizon,Cyberpunk: Edgerunners,Tokyo Ghoul
Elfen Lied,Kiseijuu: Sei no Kakuritsu,Owari no Seraph,Koutetsujou no Kabaneri
Enen no Shouboutai,Kiseijuu: Sei no Kakuritsu,Kekkai Sensen,Neon Genesis Evangelion
Eyeshield 21,Taboo Tattoo,Code:Breaker,Munou na Nana
Fairy Tail,Alice to Zouroku,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Howl no Ugoku Shiro
Fate/stay night,Highschool of the Dead,Ranpo Kitan: Game of Laplace,Kono Subarashii Sekai ni Shukufuku wo!
Fruits Basket 1st Season,Summertime Render,Zetsuen no Tempest,Sen to Chihiro no Kamikakushi
Fullmetal Alchemist: Brotherhood,Seirei Gensouki,Makai Ouji: Devils and Realist,Summertime Render
"Fuufu Ijou, Koibito Miman.","Kanojo, Okarishimasu",Gekkan Shoujo Nozaki-kun,Masamune-kun no Revenge
Gakusen Toshi Asterisk,Hanebado!,Log Horizon,Ansatsu Kyoushitsu
Gangsta.,Owari no Seraph,Taboo Tattoo,Lycoris Recoil
Gantz,Koutetsujou no Kabaneri,Kiseijuu: Sei no Kakuritsu,Shingeki no Kyojin
Ga-Rei: Zero,Summertime Render,Psycho-Pass,Bleach
Gekkan Shoujo Nozaki-kun,"Kanojo, Okarishimasu",Masamune-kun no Revenge,Tomodachi Game
Giant Killing,Bokutachi no Remake,Kokkoku,Donten ni Warau
Gintama,Donten ni Warau,Neon Genesis Evangelion,Drifters
Gleipnir,Kono Subarashii Sekai ni Shukufuku wo!,11eyes,High School DxD
Goblin Slayer,Blood Lad,Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!
God Eater,Koutetsujou no Kabaneri,Kiseijuu: Sei no Kakuritsu,Hataraku Maou-sama!
Golden Kamuy,Seirei Gensouki,Boku dake ga Inai Machi,Chainsaw Man
Golgo 13 (TV),Hai to Gensou no Grimgar,Rakudai Kishi no Cavalry,Hinomaru Zumou
Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Yowamushi Pedal,DRAMAtical Murder
Gyakkyou Burai Kaiji: Ultimate Survivor,Chainsaw Man,Bus Gamer,Makai Ouji: Devils and Realist
Hai to Gensou no Grimgar,One Punch Man,Owari no Seraph,Akame ga Kill!
Haikyuu!!,Hanebado!,Ryman's Club,Keijo!!!!!!!!
Hajime no Ippo,Shijou Saikyou no Deshi Kenichi,Ashita no Joe,Bungou Stray Dogs
Hakata Tonkotsu Ramens,Cike Wu Liuqi,Rurouni Kenshin: Meiji Kenkaku Romantan,Detective Conan
Hamatora The Animation,No Game No Life,Subete ga F ni Naru,Death Parade
Hanebado!,Ryman's Club,Kokkoku,Tenki no Ko
Harukana Receive,Keijo!!!!!!!!,Mahou Sensou,Hajime no Ippo
Hataraku Maou-sama!,God Eater,Shingeki no Kyojin,Devil Survivor 2 The Animation
Hellsing,Bleach,God Eater,Black Cat (TV)
High School DxD,Slam Dunk,Masamune-kun no Revenge,Tokyo Ghoul
Highschool of the Dead,Fate/stay night,Brave 10,Zombieland Saga
Higurashi no Naku Koro ni,Persona 4 the Animation,Tomodachi Game,Summertime Render
Hinamatsuri (TV),High School DxD,Gleipnir,Aoharu x Kikanjuu
Hinomaru Zumou,Rakudai Kishi no Cavalry,Baki,Inazuma Eleven
Horimiya,Blue Period,Suki tte Ii na yo.,Natsume Yuujinchou
Hunter x Hunter (2011),Kill la Kill,Detective Conan,Baki
Id:Invaded,Joker Game,Detective Conan,Princess Principal
"Ijiranaide, Nagatoro-san",Gekkan Shoujo Nozaki-kun,Sono Bisque Doll wa Koi wo Suru,Shijou Saikyou no Deshi Kenichi
Inazuma Eleven,Shakunetsu Kabaddi,Captain Tsubasa,Keppeki Danshi! Aoyama-kun
InuYasha,Mairimashita! Iruma-kun,Sen to Chihiro no Kamikakushi,Kumichou Musume to Sewagakari
Inuyashiki,Mairimashita! Iruma-kun,Kumichou Musume to Sewagakari,One Punch Man
Itazura na Kiss,Sen to Chihiro no Kamikakushi,Hanebado!,High School DxD
Iwa Kakeru!: Sport Climbing Girls,Busou Shoujo Machiavellianism,Yowamushi Pedal,Shijou Saikyou no Deshi Kenichi
Jaku-Chara Tomozaki-kun,Btooom!,Katekyo Hitman Reborn!,Mairimashita! Iruma-kun
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Golden Kamuy,Gokushufudou,Rurouni Kenshin: Meiji Kenkaku Romantan
Joker Game,Detective Conan,Cowboy Bebop,Akudama Drive
Jormungand,Mairimashita! Iruma-kun,Spy x Family,World Trigger
Jujutsu Kaisen,Overlord,Kuroshitsuji,InuYasha
K,Detective Conan,Hunter x Hunter (2011),Magic Kaito 1412
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Rikei ga Koi ni Ochita no de Shoumei shitemita.,Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Kakegurui,"Komi-san wa, Comyushou desu.",Toradora!,C: The Money of Soul and Possibility Control
Kami no Tou,Mushoku Tensei: Isekai Ittara Honki Dasu,Shiguang Dailiren,Dr. Stone
Kanojo mo Kanojo,"Kanojo, Okarishimasu",Zetsuen no Tempest,Gekkan Shoujo Nozaki-kun
"Kanojo, Okarishimasu",Zetsuen no Tempest,Kanojo mo Kanojo,Gekkan Shoujo Nozaki-kun
Katanagatari,Kill la Kill,Summertime Render,Lycoris Recoil
Katekyo Hitman Reborn!,Masamune-kun no Revenge,Jaku-Chara Tomozaki-kun,Slam Dunk
Keijo!!!!!!!!,Kuroko no Basket,Harukana Receive,Deatte 5-byou de Battle
Kekkai Sensen,Cowboy Bebop,Blood Lad,Neon Genesis Evangelion
Kemono Jihen,Bleach,Sen to Chihiro no Kamikakushi,Ao no Exorcist: Kyoto Fujouou-hen
Kenpuu Denki Berserk,Saint Seiya,Ashita no Joe,Youjo Senki
Keppeki Danshi! Aoyama-kun,Captain Tsubasa,Blue Lock,Eyeshield 21
Kill la Kill,Bleach,Lycoris Recoil,Ansatsu Kyoushitsu
Kimetsu no Yaiba,Sen to Chihiro no Kamikakushi,Persona 4 the Animation,Boku dake ga Inai Machi
Kingdom,Gakusen Toshi Asterisk,Romeo x Juliet,K
Kiseijuu: Sei no Kakuritsu,Koutetsujou no Kabaneri,Black Bullet,Vivy: Fluorite Eye's Song
Kiznaiver,Munou na Nana,Slam Dunk,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Kobayashi-san Chi no Maid Dragon,Kono Subarashii Sekai ni Shukufuku wo!,Darwin's Game,Tokyo Ghoul
Kokkoku,Tenki no Ko,Sen to Chihiro no Kamikakushi,Slam Dunk
Kokoro Connect,Black Clover,Shakunetsu Kabaddi,Log Horizon
"Komi-san wa, Comyushou desu.",Kimi no Na wa.,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Great Teacher Onizuka
Kono Subarashii Sekai ni Shukufuku wo!,Zombieland Saga,Seirei Gensouki,Tokyo Ghoul
Koutetsujou no Kabaneri,God Eater,Kiseijuu: Sei no Kakuritsu,Vivy: Fluorite Eye's Song
Kumichou Musume to Sewagakari,Mushoku Tensei: Isekai Ittara Honki Dasu,Kuroshitsuji,Devil May Cry
Kuroko no Basket,Banana Fish,Keijo!!!!!!!!,Slam Dunk
Kuroshitsuji,Kumichou Musume to Sewagakari,Devil May Cry,Ao no Exorcist: Kyoto Fujouou-hen
Kyoukai no Kanata,Bleach,Hellsing,Blood Lad
Log Horizon,Jaku-Chara Tomozaki-kun,Sword Art Online,Buzzer Beater
Lycoris Recoil,Aoharu x Kikanjuu,Kill la Kill,Cyberpunk: Edgerunners
Made in Abyss,Lycoris Recoil,Ga-Rei: Zero,Blood Lad
Magi: The Kingdom of Magic,Overlord,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Kono Subarashii Sekai ni Shukufuku wo!
Magi: The Labyrinth of Magic,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Overlord,Saihate no Paladin
Magic Kaito 1412,Boku dake ga Inai Machi,Seirei Gensouki,Ao no Exorcist: Kyoto Fujouou-hen
Mahou Sensou,Kono Subarashii Sekai ni Shukufuku wo!,Gleipnir,Aoharu x Kikanjuu
Mahouka Koukou no Rettousei,Wizard Barristers: Benmashi Cecil,Iwa Kakeru!: Sport Climbing Girls,Black Clover
Mairimashita! Iruma-kun,Kokkoku,5-toubun no Hanayome,Suki tte Ii na yo.
Major 2nd,Bakuman.,Seirei Gensouki,Blue Lock
Makai Ouji: Devils and Realist,Ushio to Tora (TV),Fullmetal Alchemist: Brotherhood,Shinigami Bocchan to Kuro Maid
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Rurouni Kenshin: Meiji Kenkaku Romantan,God Eater,Bleach
Masamune-kun no Revenge,High School DxD,Ao Haru Ride,Katekyo Hitman Reborn!
Mayoiga,Angel Beats!,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Sen to Chihiro no Kamikakushi
Megalo Box,Neon Genesis Evangelion,Death Note,Mousou Dairinin
Mieruko-chan,Bishoujo Senshi Sailor Moon,Gleipnir,Tokyo Ghoul
Mirai Nikki (TV),Another,Shijou Saikyou no Deshi Kenichi,Kiznaiver
Mob Psycho 100,Makai Ouji: Devils and Realist,Kumichou Musume to Sewagakari,Cike Wu Liuqi
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Cardcaptor Sakura,Divine Gate,Sen to Chihiro no Kamikakushi
Monster,Kono Subarashii Sekai ni Shukufuku wo!,Seirei Gensouki,Cyberpunk: Edgerunners
Mousou Dairinin,Black Cat (TV),Blood Lad,Ao no Exorcist: Kyoto Fujouou-hen
Munou na Nana,Gleipnir,Ajin,Divine Gate
Musaigen no Phantom World,Blood Lad,Black Bullet,K
Mushishi,No Game No Life,Hamatora The Animation,Boku no Hero Academia
Mushoku Tensei: Isekai Ittara Honki Dasu,Inuyashiki,One Punch Man,Mairimashita! Iruma-kun
Naruto,Hataraku Maou-sama!,Kiseijuu: Sei no Kakuritsu,Fate/stay night
Natsume Yuujinchou,Shinigami Bocchan to Kuro Maid,Sen to Chihiro no Kamikakushi,Horimiya
Needless,Darker than Black: Kuro no Keiyakusha,God Eater,Death Note
Neon Genesis Evangelion,Shingeki no Kyojin,Needless,God Eater
Nisekoi,Tokyo Revengers,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Another
No Game No Life,Soul Eater,God Eater,Btooom!
Noragami,Ushio to Tora (TV),Devil May Cry,Mairimashita! Iruma-kun
Odd Taxi,Banana Fish,Tokyo Ghoul,Devil May Cry
One Piece,Magic Kaito 1412,Chainsaw Man,Romeo x Juliet
One Punch Man,Paripi Koumei,Makai Ouji: Devils and Realist,Ashita no Joe
Orange,Suki tte Ii na yo.,Tokyo Revengers,Slam Dunk
Ousama Ranking,Kiznaiver,Cike Wu Liuqi,Mairimashita! Iruma-kun
Overlord,Yuâ˜†Giâ˜†Oh! Duel Monsters,Jujutsu Kaisen,Kono Subarashii Sekai ni Shukufuku wo!
Owari no Seraph,Hellsing,Akame ga Kill!,Black Bullet
Paripi Koumei,Re-Main,Boku dake ga Inai Machi,Inuyashiki
Persona 4 the Animation,Summertime Render,Another,Log Horizon
Phi Brain: Kami no Puzzle,Fate/stay night,Ranpo Kitan: Game of Laplace,Charlotte
Ping Pong the Animation,Kuroko no Basket,Ballroom e Youkoso,"Fuufu Ijou, Koibito Miman."
Pokemon (2019),Shijou Saikyou no Deshi Kenichi,Beyblade Burst,Magi: The Kingdom of Magic
Prince of Stride: Alternative,Yowamushi Pedal,Another,Busou Shoujo Machiavellianism
Princess Principal,Youjo Senki,Detective Conan,Joker Game
Psycho-Pass,Lycoris Recoil,Code Geass: Hangyaku no Lelouch,Joker Game
Qualidea Code,Zankyou no Terror,God Eater,Highschool of the Dead
Rainbow: Nisha Rokubou no Shichinin,Detective Conan,Deadman Wonderland,Shijou Saikyou no Deshi Kenichi
Rakudai Kishi no Cavalry,Phi Brain: Kami no Puzzle,Goblin Slayer,High School DxD
Ranma Â½,Seirei Gensouki,High School DxD,Monster
Ranpo Kitan: Game of Laplace,Fate/stay night,Kill la Kill,Ao no Exorcist: Kyoto Fujouou-hen
Re:Zero kara Hajimeru Isekai Seikatsu,Tokyo Ghoul,Kono Subarashii Sekai ni Shukufuku wo!,Cyberpunk: Edgerunners
Re-Main,Boku dake ga Inai Machi,Paripi Koumei,Bokutachi no Remake
Rikei ga Koi ni Ochita no de Shoumei shitemita.,Boku no Hero Academia,Alice to Zouroku,Kami no Tou
Rokka no Yuusha,Youjo Senki,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Devil Survivor 2 The Animation
Romeo x Juliet,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Arcana Famiglia,Kono Subarashii Sekai ni Shukufuku wo!
Rurouni Kenshin: Meiji Kenkaku Romantan,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Gokushufudou,Magic Kaito 1412
Ryman's Club,3-gatsu no Lion,Mairimashita! Iruma-kun,Blue Lock
Saihate no Paladin,Devil Survivor 2 The Animation,Overlord,Tensei shitara Ken Deshita
Saiki Kusuo no Î¨-nan,Mushishi,Shinigami Bocchan to Kuro Maid,Musaigen no Phantom World
Saint Seiya,Ashita no Joe,Taboo Tattoo,Kyoukai no Kanata
Saiyuuki Reload Blast,Needless,Beastars,Angel Beats!
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Summertime Render,11eyes,Boku dake ga Inai Machi
Sakura-sou no Pet na Kanojo,Ranpo Kitan: Game of Laplace,Deadman Wonderland,Rainbow: Nisha Rokubou no Shichinin
Seikaisuru Kado,Magi: The Labyrinth of Magic,Joker Game,Gokushufudou
Seirei Gensouki,Kono Subarashii Sekai ni Shukufuku wo!,Hotarubi no Mori e,Golden Kamuy
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Tokyo Revengers,Slam Dunk,Jaku-Chara Tomozaki-kun
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Rurouni Kenshin: Meiji Kenkaku Romantan,Bleach,Romeo x Juliet
Senpai ga Uzai Kouhai no Hanashi,"Kanojo, Okarishimasu","Ijiranaide, Nagatoro-san",Gekkan Shoujo Nozaki-kun
Servamp,Hotarubi no Mori e,Sen to Chihiro no Kamikakushi,Tokyo Ghoul
Shakunetsu Kabaddi,Inazuma Eleven,Blue Lock,Banana Fish
Shaman King,The God of High School,Shuumatsu no WalkÃ¼re,Deatte 5-byou de Battle
Shigatsu wa Kimi no Uso,Sono Bisque Doll wa Koi wo Suru,Yuâ˜†Giâ˜†Oh! Duel Monsters,Black Clover
Shijou Saikyou no Deshi Kenichi,Tomodachi Game,Darwin's Game,Kono Subarashii Sekai ni Shukufuku wo!
Shingeki no Kyojin,God Eater,Neon Genesis Evangelion,Hataraku Maou-sama!
Shinigami Bocchan to Kuro Maid,Makai Ouji: Devils and Realist,Chainsaw Man,Devil May Cry
Shokugeki no Souma,Gokushufudou,Ushio to Tora (TV),Major 2nd
Shouwa Genroku Rakugo Shinjuu,Bakuman.,Major 2nd,Baki
SKâˆž,Ballroom e Youkoso,Shakunetsu Kabaddi,Ranma Â½
Slam Dunk,High School DxD,Ao Haru Ride,Hanebado!
Sono Bisque Doll wa Koi wo Suru,"Ijiranaide, Nagatoro-san",Ao Haru Ride,Black Clover
Soul Eater,Blood Lad,God Eater,Neon Genesis Evangelion
Spy x Family,Cike Wu Liuqi,Kuroshitsuji,Hakata Tonkotsu Ramens
Steins;Gate,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Clover,Buzzer Beater
Subete ga F ni Naru,Persona 4 the Animation,Summertime Render,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
Suki tte Ii na yo.,Ao Haru Ride,Zetsuen no Tempest,Mairimashita! Iruma-kun
Summertime Render,Fullmetal Alchemist: Brotherhood,Boku dake ga Inai Machi,Persona 4 the Animation
Sword Art Online,Vivy: Fluorite Eye's Song,Overlord,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Taboo Tattoo,Ashita no Joe,Eyeshield 21,Bleach
Tate no Yuusha no Nariagari,Ushio to Tora (TV),Code Geass: Hangyaku no Lelouch,Neon Genesis Evangelion
Tengen Toppa Gurren Lagann,Fate/stay night,Bubble,Kakurenbo
Tensei shitara Ken Deshita,Kyoukai no Kanata,Hellsing,Brave 10
Terra Formars,Kiseijuu: Sei no Kakuritsu,Black Bullet,God Eater
The God of High School,Baki,Hinomaru Zumou,Ashita no Joe
Tokyo Ghoul,Kono Subarashii Sekai ni Shukufuku wo!,Re:Zero kara Hajimeru Isekai Seikatsu,Cyberpunk: Edgerunners
Tokyo Revengers,Slam Dunk,Great Teacher Onizuka,Hanebado!
Tomodachi Game,Shijou Saikyou no Deshi Kenichi,5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun
Tonari no Kaibutsu-kun,Ao Haru Ride,5-toubun no Hanayome,Clannad
Toradora!,Blue Period,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Gekkan Shoujo Nozaki-kun
Toriko,Blood Lad,Cowboy Bebop,Steins;Gate
Trigun,Death Note,Shingeki no Kyojin,God Eater
Uma Musume: Pretty Derby,Great Teacher Onizuka,The God of High School,"Fuufu Ijou, Koibito Miman."
Ushio to Tora (TV),Fullmetal Alchemist: Brotherhood,Donten ni Warau,Ao no Exorcist: Kyoto Fujouou-hen
Aggressive Retsuko (ONA),High School DxD,Shinigami Bocchan to Kuro Maid,Tokyo Ghoul
Vinland Saga,Hajime no Ippo,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Gokushufudou
Aggressive Retsuko (ONA),High School DxD,Shinigami Bocchan to Kuro Maid,Tokyo Ghoul
Aoi Sekai no Chuushin de,Megalo Box,Buzzer Beater,Kakurenbo
Baki,Ashita no Joe,Kenpuu Denki Berserk,The God of High School
Blue Lock,Shakunetsu Kabaddi,Ao Ashi,Seirei Gensouki
Cike Wu Liuqi,Mob Psycho 100,Ousama Ranking,Hakata Tonkotsu Ramens
Cyberpunk: Edgerunners,High School DxD,Re:Zero kara Hajimeru Isekai Seikatsu,Kono Subarashii Sekai ni Shukufuku wo!
Gokushufudou,Devil May Cry,Chainsaw Man,Makai Ouji: Devils and Realist
Kengan Ashura,Joker Game,Battle Spirits: Burning Soul,K
Shiguang Dailiren,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Alice to Zouroku,Rikei ga Koi ni Ochita no de Shoumei shitemita.
Shuumatsu no WalkÃ¼re,Shaman King,BlazBlue: Alter Memory,Devil Survivor 2 The Animation
Star Wars: Visions,Steins;Gate,Great Teacher Onizuka,DRAMAtical Murder
Violet Evergarden,Boku dake ga Inai Machi,Fullmetal Alchemist: Brotherhood,Zombieland Saga
Vivy: Fluorite Eye's Song,Koutetsujou no Kabaneri,Zombieland Saga,God Eater
Wizard Barristers: Benmashi Cecil,Shaman King,Mahouka Koukou no Rettousei,Star Wars: Visions
Wonder Egg Priority,Kono Subarashii Sekai ni Shukufuku wo!,Fullmetal Alchemist: Brotherhood,High School DxD
World Trigger,Munou na Nana,Neon Genesis Evangelion,Jormungand
Wotaku ni Koi wa Muzukashii,Slam Dunk,Darwin's Game,Kobayashi-san Chi no Maid Dragon
Yakusoku no Neverland,Sen to Chihiro no Kamikakushi,Digimon Adventure,Fruits Basket 1st Season
Yasuke,Rakudai Kishi no Cavalry,Kill la Kill,Ajin
Youjo Senki,Kenpuu Denki Berserk,Gleipnir,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,"Komi-san wa, Comyushou desu.",Jaku-Chara Tomozaki-kun,Itazura na Kiss
Young Black Jack,Inuyashiki,Bakuman.,Detective Conan
Yowamushi Pedal,Prince of Stride: Alternative,Shakunetsu Kabaddi,Seirei Gensouki
Yozakura Quartet: Hana no Uta,Gakusen Toshi Asterisk,Kami no Tou,Senpai ga Uzai Kouhai no Hanashi
