Anime,1st recomm,2nd recomm,3rd recomm
Hinamatsuri (TV),Kobayashi-san Chi no Maid Dragon S,Kono Subarashii Sekai ni Shukufuku wo! 2,Kono Subarashii Sekai ni Shukufuku wo!
Hinomaruzumou,Nomad: Megalo Box 2,Rakudai Kishi no Cavalry,Hajime no Ippo: Rising
Horimiya,Tonari no Kaibutsu-kun,Suki tte Ii na yo.,Natsume Yuujinchou Go
Hotarubi no Mori e,Sen to Chihiro no Kamikakushi,Bungou Stray Dogs,Bleach
Howl no Ugoku Shiro,Aggressive Retsuko (ONA) 2nd Season,Kobayashi-san Chi no Maid Dragon S,Aggressive Retsuko (ONA)
Hunter x Hunter (2011),Fate/stay night: Unlimited Blade Works,Yu☆Gi☆Oh! Duel Monsters GX,Shingeki no Kyojin: The Final Season
Id:Invaded,Akudama Drive,Joker Game,Jormungand: Perfect Order
"Ijiranaide, Nagatoro-san","Komi-san wa, Comyushou desu. 2nd Season",Gekkan Shoujo Nozaki-kun,Sono Bisque Doll wa Koi wo Suru
"Ijiranaide, Nagatoro-san 2nd Attack",Kuzu no Honkai,Alice to Zouroku,Kanojo mo Kanojo
Inazuma Eleven,Inazuma Eleven Go,Blue Lock,Shakunetsu Kabaddi
Inazuma Eleven Go,Inazuma Eleven Go: Chrono Stone,Inazuma Eleven,Shakunetsu Kabaddi
Inazuma Eleven Go: Chrono Stone,Inazuma Eleven Go,Inazuma Eleven,Shakunetsu Kabaddi
Inazuma Eleven Go: Galaxy,Inazuma Eleven Go: Chrono Stone,Blue Lock,Haikyuu!! Second Season
Inuyashiki,Mushoku Tensei: Isekai Ittara Honki Dasu,Kumichou Musume to Sewagakari,Yojouhan Shinwa Taikei
Itazura na Kiss,Kobayashi-san Chi no Maid Dragon S,Hanebado!,Fruits Basket
Iwa Kakeru! Sport Climbing Girls,Pokemon XY,Kakegurui××,Cardcaptor Sakura: Clear Card-hen
Jaku-Chara Tomozaki-kun,Btooom!,Katekyo Hitman Reborn!,Mairimashita! Iruma-kun
JoJo no Kimyou na Bouken (TV),Fullmetal Alchemist: Brotherhood,Seirei Gensouki,Fullmetal Alchemist
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Naruto: Shippuuden Movie 5 - Blood Prison,Donten ni Warau,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,Shingeki no Kyojin: The Final Season,Romeo x Juliet,Overlord III
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Kimi wo Aishita Hitori no Boku e,Dr. Stone,Vinland Saga
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,One Piece Film: Z,Mousou Dairinin,Cowboy Bebop
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Kill la Kill,Ajin Part 2,Akudama Drive
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Ajin Part 2,Naruto: Shippuuden Movie 5 - Blood Prison,One Piece Film: Z
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Naruto: Shippuuden Movie 4 - The Lost Tower,Yu☆Gi☆Oh! Zexal Second,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
Joker Game,Jormungand: Perfect Order,Psycho-Pass Movie,Cowboy Bebop
Jormungand,Mairimashita! Iruma-kun,Kumichou Musume to Sewagakari,Kimetsu no Yaiba: Yuukaku-hen
Jormungand: Perfect Order,Mob Psycho 100 III,High School DxD New,Gintama Movie 1: Shinyaku Benizakura-hen
Jujutsu Kaisen,Overlord II,Blood Lad,Ao no Exorcist: Kyoto Fujouou-hen
Jujutsu Kaisen 0 Movie,Kumichou Musume to Sewagakari,High School DxD New,Mairimashita! Iruma-kun
K,Ajin Part 2,Kuroshitsuji,Bleach: Sennen Kessen-hen
K: Missing Kings,Summertime Render,Dragon Ball Z,Yu☆Gi☆Oh! Zexal Second
K: Return of Kings,Fairy Tail Movie 2: Dragon Cry,Shingeki no Kyojin: The Final Season Part 2,Kimetsu no Yaiba: Yuukaku-hen
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kanojo mo Kanojo,Clannad: After Story,Kuzu no Honkai
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Fuufu Ijou, Koibito Miman.",Great Teacher Onizuka,Gekkan Shoujo Nozaki-kun
Kaguya-sama wa Kokurasetai: Ultra Romantic,Naruto: Shippuuden Movie 6 - Road to Ninja,5-toubun no Hanayome,Kumichou Musume to Sewagakari
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kokoro Connect: Michi Random,Noragami Aragoto,Mairimashita! Iruma-kun 3rd Season
Kakegurui,"Komi-san wa, Comyushou desu.",Tomodachi Game,Toradora!
Kakegurui××,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Prison School,Mairimashita! Iruma-kun 3rd Season
Kakurenbo,Gleipnir,Munou na Nana,Tengen Toppa Gurren Lagann
Kami no Tou,Mushoku Tensei: Isekai Ittara Honki Dasu,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shiguang Dailiren
Kanojo mo Kanojo,"Fuufu Ijou, Koibito Miman.",Nisekoi:,Nana
"Kanojo, Okarishimasu",Zetsuen no Tempest,Kanojo mo Kanojo,Gekkan Shoujo Nozaki-kun
Katanagatari,Wizard Barristers: Benmashi Cecil,Kill la Kill,Gokushufudou Part 2
Katekyo Hitman Reborn!,Masamune-kun no Revenge,Jaku-Chara Tomozaki-kun,Tonari no Kaibutsu-kun
Keijo!!!!!!!!,Harukana Receive,Kuroko no Basket,Kuroko no Basket 2nd Season
Kekkai Sensen,Akudama Drive,Cowboy Bebop,Yu☆Gi☆Oh! VRAINS
Kekkai Sensen & Beyond,Kuroshitsuji: Book of Circus,Jujutsu Kaisen,Kizumonogatari II: Nekketsu-hen
Kemono Jihen,Sen to Chihiro no Kamikakushi,Devil May Cry,Ao no Exorcist: Kyoto Fujouou-hen
Kengan Ashura,Battle Spirits: Burning Soul,Jormungand: Perfect Order,Gangsta.
Kengan Ashura Part 2,Ushio to Tora (TV) 2nd Season,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Aggressive Retsuko (ONA) 4th Season
Kenpuu Denki Berserk,Yu☆Gi☆Oh! Zexal,Youjo Senki,Ashita no Joe
Keppeki Danshi! Aoyama-kun,Inazuma Eleven Go,Inazuma Eleven Go: Chrono Stone,Blue Lock
Kill la Kill,Ajin Part 2,Bleach,Kyoukai no Kanata
Kimetsu no Yaiba,Hotarubi no Mori e,Persona 4 the Animation,Bleach
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Konjiki no Gash Bell!!,Kimetsu no Yaiba: Yuukaku-hen,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Kimetsu no Yaiba: Mugen Ressha-hen,Kimetsu no Yaiba: Yuukaku-hen,Fate/stay night,Konjiki no Gash Bell!!
Kimetsu no Yaiba: Yuukaku-hen,Ansatsu Kyoushitsu 2nd Season,Zombieland Saga Revenge,Kimetsu no Yaiba Movie: Mugen Ressha-hen
Kimi no Na wa.,"Komi-san wa, Comyushou desu.",Nana,Great Teacher Onizuka
Kimi wo Aishita Hitori no Boku e,Fullmetal Alchemist,91 Days,JoJo no Kimyou na Bouken (TV)
Kingdom,Gokushufudou Part 2,Kimetsu no Yaiba: Yuukaku-hen,Dragon Ball Z
Kingdom 2nd Season,Kingdom 3rd Season,One Punch Man,Paripi Koumei
Kingdom 3rd Season,Kingdom 2nd Season,Dr. Stone: Stone Wars,Overlord III
Kingdom 4th Season,Kingdom 2nd Season,Kingdom,Paripi Koumei
Kiseijuu: Sei no Kakuritsu,Koutetsujou no Kabaneri,Black Bullet,Vivy: Fluorite Eye's Song
Kiznaiver,Munou na Nana,Code Geass: Hangyaku no Lelouch R2,Digimon Adventure 02
Kizumonogatari I: Tekketsu-hen,Darwin's Game,Bakemonogatari,Another
Kizumonogatari II: Nekketsu-hen,Hellsing,Owari no Seraph,Owari no Seraph: Nagoya Kessen-hen
Kizumonogatari III: Reiketsu-hen,Owari no Seraph: Nagoya Kessen-hen,Hellsing,Tensei shitara Ken deshita
Kobayashi-san Chi no Maid Dragon,Darwin's Game,Kono Subarashii Sekai ni Shukufuku wo!,Tokyo Ghoul
Kobayashi-san Chi no Maid Dragon S,Deatte 5-byou de Battle,Hanebado!,Gokushufudou Part 2
Kokkoku,Tenki no Ko,Sen to Chihiro no Kamikakushi,Aggressive Retsuko (ONA) 3rd Season
Kokoro Connect,Ballroom e Youkoso,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Hanamonogatari
Kokoro Connect: Michi Random,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,High School DxD BorN,Hibike! Euphonium
"Komi-san wa, Comyushou desu.",Grisaia no Kajitsu,Prison School,Kobayashi-san Chi no Maid Dragon S
"Komi-san wa, Comyushou desu. 2nd Season",3-gatsu no Lion 2nd Season,Nichijou,Another
Kono Subarashii Sekai ni Shukufuku wo!,Kono Subarashii Sekai ni Shukufuku wo! 2,Zombieland Saga,Seirei Gensouki
Kono Subarashii Sekai ni Shukufuku wo! 2,Mairimashita! Iruma-kun 2nd Season,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Bleach
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Konjiki no Gash Bell!!,Mairimashita! Iruma-kun 2nd Season,11eyes
Koutetsujou no Kabaneri,God Eater,Kiseijuu: Sei no Kakuritsu,Black Bullet
Koyomimonogatari,Kami no Tou,Nichijou,Psycho-Pass 2
Kumichou Musume to Sewagakari,Kimetsu no Yaiba: Yuukaku-hen,Mairimashita! Iruma-kun 2nd Season,Mushoku Tensei: Isekai Ittara Honki Dasu
Kuroko no Basket,Buzzer Beater,Kuroko no Basket Movie 4: Last Game,Kuroko no Basket 2nd Season
Kuroko no Basket 2nd Season,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Kuroko no Basket Movie 4: Last Game,Kuroko no Basket
Kuroko no Basket 3rd Season,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Kuroko no Basket Movie 4: Last Game,The God of High School
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Buzzer Beater,Kuroko no Basket Movie 4: Last Game,Kuroko no Basket 2nd Season
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Haikyuu!! To the Top Part 2,The God of High School,Gakusen Toshi Asterisk 2nd Season
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Kuroko no Basket Movie 4: Last Game,Kuroko no Basket 3rd Season,Buzzer Beater
Kuroko no Basket Movie 4: Last Game,Kuroko no Basket,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari
Kuroshitsuji,Overlord II,K,Konjiki no Gash Bell!!
Kuroshitsuji II,Barakamon,Devil May Cry,Mairimashita! Iruma-kun
Kuroshitsuji: Book of Circus,Kekkai Sensen & Beyond,Sen to Chihiro no Kamikakushi,High School DxD New
Kyoukai no Kanata,Kill la Kill,Bleach,Tensei shitara Ken deshita
Log Horizon,Jaku-Chara Tomozaki-kun,Sword Art Online,Buzzer Beater
Made in Abyss,Made in Abyss: Retsujitsu no Ougonkyou,Ga-Rei: Zero,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Made in Abyss Movie 1: Tabidachi no Yoake,The Last: Naruto the Movie,Spy x Family Part 2,Zombieland Saga
Made in Abyss Movie 2: Hourou Suru Tasogare,Owari no Seraph: Nagoya Kessen-hen,Bakemonogatari,Zombieland Saga
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Kimetsu no Yaiba: Yuukaku-hen,D.Gray-man,Fullmetal Alchemist: Brotherhood
Made in Abyss: Retsujitsu no Ougonkyou,Saihate no Paladin,Made in Abyss,Overlord III
Magi: The Kingdom of Magic,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Tate no Yuusha no Nariagari Season 2
Magi: The Labyrinth of Magic,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Overlord,Magi: The Kingdom of Magic
Magic Kaito 1412,Dragon Ball Z,Boku dake ga Inai Machi,Fullmetal Alchemist
Mahou Sensou,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Kono Subarashii Sekai ni Shukufuku wo!,High School DxD BorN
Mahouka Koukou no Rettousei,Kizumonogatari I: Tekketsu-hen,Grisaia no Kajitsu,Cardcaptor Sakura: Clear Card-hen
Mairimashita! Iruma-kun,Kokkoku,5-toubun no Hanayome,Jaku-Chara Tomozaki-kun
Mairimashita! Iruma-kun 2nd Season,Kono Subarashii Sekai ni Shukufuku wo! 2,No Game No Life: Zero,Mushoku Tensei: Isekai Ittara Honki Dasu
Mairimashita! Iruma-kun 3rd Season,Great Teacher Onizuka,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,High School DxD BorN
Major 2nd,JoJo no Kimyou na Bouken (TV),Boruto: Naruto the Movie,Yu☆Gi☆Oh! Zexal
Major 2nd 2nd Season,Hanamonogatari,Sen to Chihiro no Kamikakushi,Kokkoku
Makai Ouji: Devils and Realist,Ushio to Tora (TV),Fullmetal Alchemist: Brotherhood,Chainsaw Man
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,Rurouni Kenshin: Meiji Kenkaku Romantan,No Game No Life: Zero
Masamune-kun no Revenge,Katekyo Hitman Reborn!,Ao Haru Ride,Kokkoku
Mayoiga,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Fruits Basket,Kokoro Connect: Michi Random
Megalo Box,Ashita no Joe,Hajime no Ippo: Rising,Yu☆Gi☆Oh! Zexal
Mieruko-chan,Bishoujo Senshi Sailor Moon,Gleipnir,Tokyo Ghoul
Mini Dragon,Made in Abyss Movie 1: Tabidachi no Yoake,Star Wars: Visions,Wizard Barristers: Benmashi Cecil
Mirai Nikki (TV),Shijou Saikyou no Deshi Kenichi,Another,Tomodachi Game
Mob Psycho 100,High School DxD New,Makai Ouji: Devils and Realist,Mushoku Tensei: Isekai Ittara Honki Dasu
Mob Psycho 100 II,Jormungand: Perfect Order,Mob Psycho 100,Jujutsu Kaisen
Mob Psycho 100 III,D.Gray-man Hallow,Jormungand: Perfect Order,Kuroshitsuji: Book of Circus
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Digimon Adventure 02,Boku no Hero Academia,Sen to Chihiro no Kamikakushi
Monogatari Series: Second Season,Bleach: Sennen Kessen-hen,Nichijou,Nisekoi:
Monster,Cyberpunk: Edgerunners,Kono Subarashii Sekai ni Shukufuku wo!,Seirei Gensouki
Mousou Dairinin,Yuukoku no Moriarty Part 2,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Gintama°
Munou na Nana,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Bleach,Gleipnir
Mushishi,No Game No Life,Hamatora The Animation,Mushishi Zoku Shou: Odoro no Michi
Mushishi Zoku Shou,Cike Wu Liuqi,Saiki Kusuo no Ψ-nan,Mushishi Zoku Shou: Odoro no Michi
Mushishi Zoku Shou 2nd Season,Mushishi Zoku Shou: Odoro no Michi,Overlord II,Mob Psycho 100 II
Mushishi Zoku Shou: Odoro no Michi,World Trigger,Gintama Movie 1: Shinyaku Benizakura-hen,Mushishi Zoku Shou 2nd Season
Mushishi Zoku Shou: Suzu no Shizuku,Mahou Sensou,Sen to Chihiro no Kamikakushi,Dragon Ball
Mushishi: Hihamukage,Tate no Yuusha no Nariagari Season 2,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Overlord
Mushoku Tensei: Isekai Ittara Honki Dasu,One Punch Man,Enen no Shouboutai: Ni no Shou,Kumichou Musume to Sewagakari
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Devil Survivor 2 The Animation,Bleach: Sennen Kessen-hen,Ajin Part 2
Naruto,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Hataraku Maou-sama!,Naruto: Shippuuden Movie 4 - The Lost Tower
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Cyberpunk: Edgerunners,Gintama.: Porori-hen,Naruto: Shippuuden Movie 6 - Road to Ninja
Naruto: Shippuuden,Mairimashita! Iruma-kun 2nd Season,Mob Psycho 100 III,Enen no Shouboutai: Ni no Shou
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,K: Missing Kings,Naruto: Shippuuden Movie 4 - The Lost Tower,Yu☆Gi☆Oh! Zexal Second
Naruto: Shippuuden Movie 4 - The Lost Tower,Naruto: Shippuuden Movie 5 - Blood Prison,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono
Naruto: Shippuuden Movie 5 - Blood Prison,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Naruto: Shippuuden Movie 4 - The Lost Tower,Ao no Exorcist: Kyoto Fujouou-hen
Naruto: Shippuuden Movie 6 - Road to Ninja,Mairimashita! Iruma-kun 2nd Season,Kono Subarashii Sekai ni Shukufuku wo!,Kaguya-sama wa Kokurasetai: Ultra Romantic
Natsume Yuujinchou,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Sen to Chihiro no Kamikakushi,Hanamonogatari
Natsume Yuujinchou Go,Shinigami Bocchan to Kuro Maid,Horimiya,Natsume Yuujinchou San
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Zoku Natsume Yuujinchou,Fruits Basket 2nd Season,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
Natsume Yuujinchou Roku,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Koyomimonogatari,Kami no Tou
Natsume Yuujinchou San,Natsume Yuujinchou Go,Shouwa Genroku Rakugo Shinjuu,Boruto: Naruto the Movie
Natsume Yuujinchou Shi,Monogatari Series: Second Season,Devil May Cry,Mairimashita! Iruma-kun 2nd Season
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Kobayashi-san Chi no Maid Dragon,Mushishi Zoku Shou: Suzu no Shizuku,Code:Breaker
Needless,Shingeki no Kyojin Season 2,God Eater,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
Nekomonogatari: Kuro,Tsukimonogatari,Tokyo Ghoul,High School DxD OVA
Neon Genesis Evangelion,Evangelion: 1.0 You Are (Not) Alone,Shingeki no Kyojin,Terra Formars: Revenge
Neon Genesis Evangelion: Death & Rebirth,Boku dake ga Inai Machi,Fullmetal Alchemist: Brotherhood,Evangelion: 1.0 You Are (Not) Alone
Neon Genesis Evangelion: The End of Evangelion,Dragon Ball Z,No Game No Life: Zero,Makai Ouji: Devils and Realist
Nisekoi,Tokyo Revengers,Grisaia no Kajitsu,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Nisekoi:,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Fruits Basket 2nd Season,5-toubun no Hanayome ∬
Nisemonogatari,Nekomonogatari: Kuro,Owari no Seraph: Nagoya Kessen-hen,High School DxD
No Game No Life,Rakudai Kishi no Cavalry,God Eater,Soul Eater
No Game No Life: Zero,Neon Genesis Evangelion: The End of Evangelion,Owari no Seraph,Vivy: Fluorite Eye's Song
Nomad: Megalo Box 2,Ashita no Joe,Hajime no Ippo: Rising,Baki
Noragami,Makai Ouji: Devils and Realist,Ushio to Tora (TV),Konjiki no Gash Bell!!
Noragami Aragoto,Kono Subarashii Sekai ni Shukufuku wo! 2,Busou Shoujo Machiavellianism,High School DxD BorN
Odd Taxi,Aggressive Retsuko (ONA) 3rd Season,Re:Zero kara Hajimeru Isekai Seikatsu,Banana Fish
One Piece Film: Z,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Naruto: Shippuuden Movie 5 - Blood Prison
One Punch Man,Mushoku Tensei: Isekai Ittara Honki Dasu,Dragon Ball Z,Makai Ouji: Devils and Realist
Orange,Suki tte Ii na yo.,Boku ga Aishita Subete no Kimi e,Tokyo Revengers
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Kuzu no Honkai,Tonikaku Kawaii,Code:Breaker
Ousama Ranking,Kiznaiver,Barakamon,Cike Wu Liuqi
Overlord,Tate no Yuusha no Nariagari Season 2,Overlord II,Dragon Ball Super
Overlord II,High School DxD New,Kuroshitsuji,Overlord
Overlord III,Gintama.: Shirogane no Tamashii-hen,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Saihate no Paladin
Overlord IV,Gintama: The Semi-Final,Kimetsu no Yaiba: Yuukaku-hen,Gintama.: Porori-hen
Owari no Seraph,No Game No Life: Zero,Hellsing,Akame ga Kill!
Owari no Seraph: Nagoya Kessen-hen,Kizumonogatari III: Reiketsu-hen,Nisemonogatari,Kizumonogatari II: Nekketsu-hen
Owarimonogatari,Another,Boku ga Aishita Subete no Kimi e,Owarimonogatari 2nd Season
Owarimonogatari 2nd Season,Digimon Adventure 02,Zetsuen no Tempest,Boku ga Aishita Subete no Kimi e
Paripi Koumei,Kingdom 2nd Season,Neon Genesis Evangelion: Death & Rebirth,Re-Main
Persona 4 the Animation,Boku ga Aishita Subete no Kimi e,Kokoro Connect: Michi Random,Kokkoku
Phi Brain: Kami no Puzzle,Ranpo Kitan: Game of Laplace,Makai Ouji: Devils and Realist,Rakudai Kishi no Cavalry
Phi Brain: Kami no Puzzle - Orpheus Order-hen,Gantz,Shingeki no Kyojin: The Final Season Part 2,Kimetsu no Yaiba Movie: Mugen Ressha-hen
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,Pokemon XY,Magi: The Kingdom of Magic,High School DxD OVA
Ping Pong the Animation,Kuzu no Honkai,Kuroko no Basket,Ballroom e Youkoso
Pokemon (2019),Spy x Family Part 2,Inazuma Eleven Go: Galaxy,Shaman King
Pokemon Movie 17: Hakai no Mayu to Diancie,Fairy Tail Movie 2: Dragon Cry,Hinamatsuri (TV),Fairy Tail Movie 1: Houou no Miko
Pokemon XY,Kono Subarashii Sekai ni Shukufuku wo!,Kuroko no Basket Movie 4: Last Game,Brave 10
Prince of Stride: Alternative,Digimon Adventure 02,Yowamushi Pedal,Grisaia no Kajitsu
Princess Principal,Youjo Senki,Kill la Kill,Jormungand: Perfect Order
Psycho-Pass,Psycho-Pass Movie,Princess Principal,Naruto: Shippuuden Movie 5 - Blood Prison
Psycho-Pass 2,Nisekoi:,High School DxD BorN,Zetsuen no Tempest
Psycho-Pass Movie,Psycho-Pass,Code Geass: Hangyaku no Lelouch,Joker Game
Qualidea Code,God Eater,Zankyou no Terror,Black Bullet
Rainbow: Nisha Rokubou no Shichinin,Donten ni Warau,Sakura-sou no Pet na Kanojo,Bungou Stray Dogs
Rakudai Kishi no Cavalry,Black Clover,Phi Brain: Kami no Puzzle,The God of High School
Ranpo Kitan: Game of Laplace,High School DxD New,Kill la Kill,Ao no Exorcist: Kyoto Fujouou-hen
Re-Main,Boku dake ga Inai Machi,Neon Genesis Evangelion: The End of Evangelion,Bokutachi no Remake
Re:␣Hamatora,Neon Genesis Evangelion: Death & Rebirth,Bakuman. 3rd Season,Summertime Render
Re:Zero kara Hajimeru Isekai Seikatsu,Tokyo Ghoul,Aggressive Retsuko (ONA) 3rd Season,Cyberpunk: Edgerunners
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Bishoujo Senshi Sailor Moon Eternal Movie 2,Gintama: The Semi-Final,Violet Evergarden
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Kono Subarashii Sekai ni Shukufuku wo! 2,Mairimashita! Iruma-kun 2nd Season,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
Rikei ga Koi ni Ochita no de Shoumei shitemita.,Boku no Hero Academia,Alice to Zouroku,Kami no Tou
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,Boku ga Aishita Subete no Kimi e,Another,Digimon Adventure 02
Rokka no Yuusha,K,Owari no Seraph: Nagoya Kessen-hen,Fate/stay night: Unlimited Blade Works
Romeo x Juliet,Dragon Ball Z,Bishoujo Senshi Sailor Moon Eternal Movie 1,Kill la Kill
Rurouni Kenshin: Meiji Kenkaku Romantan,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Gokushufudou,Black Cat (TV)
Ryman's Club,Bokutachi no Remake,Yu☆Gi☆Oh! Zexal,3-gatsu no Lion
Saihate no Paladin,Fate/stay night,Overlord,D.Gray-man Hallow
Saiki Kusuo no Ψ-nan,Cike Wu Liuqi,Shelter (Music),Mushishi
Saiyuuki Reload Blast,Kimetsu no Yaiba: Yuukaku-hen,Kingdom,Needless
Sakura-sou no Pet na Kanojo,Ranpo Kitan: Game of Laplace,Jujutsu Kaisen,Deadman Wonderland
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Bleach,Summertime Render,Kono Subarashii Sekai ni Shukufuku wo! 2
Seikaisuru Kado,Magi: The Labyrinth of Magic,D.Gray-man Hallow,Hataraku Maou-sama!!
Seirei Gensouki,Boku dake ga Inai Machi,Kono Subarashii Sekai ni Shukufuku wo!,Aggressive Retsuko (ONA) 3rd Season
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Tokyo Revengers,Jaku-Chara Tomozaki-kun,Katekyo Hitman Reborn!
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Rurouni Kenshin: Meiji Kenkaku Romantan,Bleach,D.Gray-man
Sen to Chihiro no Kamikakushi,Hotarubi no Mori e,Hanamonogatari,Digimon Adventure 02
Senpai ga Uzai Kouhai no Hanashi,Fruits Basket 2nd Season,"Komi-san wa, Comyushou desu. 2nd Season",Kanojo mo Kanojo
Servamp,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Wotaku ni Koi wa Muzukashii,Nekomonogatari: Kuro
Shakunetsu Kabaddi,Inazuma Eleven Go: Chrono Stone,Prince of Stride: Alternative,Inazuma Eleven
Shaman King,Fate/stay night: Unlimited Blade Works,The God of High School,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
Shigatsu wa Kimi no Uso,Kobayashi-san Chi no Maid Dragon S,Sono Bisque Doll wa Koi wo Suru,Yu☆Gi☆Oh! Duel Monsters
Shiguang Dailiren,Natsume Yuujinchou Roku,Koyomimonogatari,Tomodachi Game
Shijou Saikyou no Deshi Kenichi,Another,Darwin's Game,Mairimashita! Iruma-kun 3rd Season
Shingeki no Kyojin,God Eater,Neon Genesis Evangelion,Shingeki no Kyojin Season 2
Shingeki no Kyojin Season 2,Shingeki no Kyojin Season 3,Neon Genesis Evangelion,Needless
Shingeki no Kyojin Season 3,Neon Genesis Evangelion: The End of Evangelion,Kimetsu no Yaiba: Yuukaku-hen,Shingeki no Kyojin Season 2
Shingeki no Kyojin Season 3 Part 2,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,World Trigger 2nd Season,Shingeki no Kyojin Season 3
Shingeki no Kyojin: The Final Season,Saihate no Paladin,D.Gray-man Hallow,Dr. Stone
Shingeki no Kyojin: The Final Season Part 2,Terra Formars: Revenge,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Yuukoku no Moriarty Part 2
Shinigami Bocchan to Kuro Maid,Mairimashita! Iruma-kun 2nd Season,Makai Ouji: Devils and Realist,Barakamon
